ESV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV4562.1439,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium_normanense
ESV4563.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_4563
ESV4564.1438,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,midas_s_1034
ESV4565.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_1965,midas_s_4565
ESV4566.1432,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1226,midas_s_4566
ESV4567.1445,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,midas_f_342,midas_g_630,midas_s_4327
ESV4568.1449,Bacteria,Firmicutes,Limnochordia,Hydrogenispora,midas_f_858,midas_g_2147,midas_s_4568
ESV4569.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas_yeongjuensis
ESV4570.1451,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,Petrimonas_sulfuriphila
ESV4571.1449,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,midas_s_29
ESV4572.1423,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,midas_g_4572,midas_s_4572
ESV4573.1457,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_3544
ESV4574.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,midas_s_4574
ESV4575.1494,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,midas_f_4575,midas_g_4575,midas_s_4575
ESV4576.1449,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,midas_s_4576
ESV4577.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_101
ESV4578.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade,midas_s_27
ESV4579.1461,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,midas_g_4579,midas_s_4579
ESV4580.1458,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,Dethiobacter,midas_s_4580
ESV4581.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,midas_s_2141
ESV4582.1480,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_4245,midas_g_4582,midas_s_4582
ESV4583.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,Rhizobacter_profundi
ESV4584.1385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_lutimaris
ESV4585.1476,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,midas_f_973,midas_g_973,midas_s_973
ESV4586.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,midas_g_534,midas_s_864
ESV4587.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_887,midas_s_3291
ESV4588.1479,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_1432,midas_g_2413,midas_s_4588
ESV4589.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,Methylocystis_parvus
ESV4590.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,midas_s_1346
ESV4591.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_4591
ESV4592.1401,Bacteria,Patescibacteria,Microgenomatia,Ca_Pacebacteria,midas_f_2597,midas_g_2918,midas_s_2918
ESV4593.1474,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,midas_g_4593,midas_s_4593
ESV4594.1418,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,midas_f_1,midas_g_667,midas_s_667
ESV4595.1446,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,midas_s_4595
ESV4596.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,midas_s_1356
ESV4597.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,midas_s_4597
ESV4598.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_81,midas_s_4598
ESV4599.1436,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,midas_s_36
ESV4600.1443,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_957,midas_s_4600
ESV4601.1405,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,midas_s_4601
ESV4602.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax_fermentans
ESV4603.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_101
ESV4604.1462,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,midas_s_3198
ESV4605.1452,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus_bromii
ESV4606.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,midas_s_795
ESV4607.1436,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1914,midas_s_4607
ESV4608.1446,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,midas_g_1097,midas_s_4608
ESV4609.1437,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,midas_g_3160,midas_s_3160
ESV4610.1471,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_445
ESV4611.1481,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,midas_f_4611,midas_g_4611,midas_s_4611
ESV4612.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,midas_s_4612
ESV4613.1426,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_176
ESV4614.1443,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,midas_s_518
ESV4615.1483,Bacteria,Sumerlaeota,Sumerlaeia,midas_o_3047,midas_f_3047,midas_g_3047,midas_s_4615
ESV4616.1436,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Micropruina,Micropruina_glycogenica
ESV4617.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,Intestinibacter_bartlettii
ESV4618.1438,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,midas_g_3100,midas_s_4618
ESV4619.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,midas_s_4237
ESV4620.1450,Bacteria,Firmicutes,Limnochordia,B55-F-B-G02,midas_f_3498,midas_g_3946,midas_s_4620
ESV4621.1481,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,midas_s_3686
ESV4622.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,Simplicispira_limi
ESV4623.1486,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,midas_f_2060,midas_g_4623,midas_s_4623
ESV4624.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198
ESV4625.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_profundus
ESV4626.1568,Bacteria,Firmicutes,Clostridia,Oscillospirales,Eubacterium_coprostanoligenes_group,midas_g_4626,midas_s_4626
ESV4627.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Tepidiphilus,midas_s_4627
ESV4628.1449,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Sphaerotilus,midas_s_4338
ESV4629.1446,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,midas_s_4629
ESV4630.1524,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Ca_Cloacimonas,midas_s_1905
ESV4631.1475,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_1096,midas_s_1096
ESV4632.1419,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_72,midas_g_4001,midas_s_4001
ESV4633.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter_mayombei
ESV4634.1444,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_1605,midas_s_1605
ESV4635.1457,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_4635
ESV4636.1441,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_3064,midas_s_4636
ESV4637.1473,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,midas_f_1714,midas_g_1714,midas_s_1714
ESV4638.1445,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_1251,midas_s_2670
ESV4639.1456,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_4639,midas_s_4639
ESV4640.1497,Bacteria,Caldatribacteriota,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,Ca_Caldatribacterium,midas_s_4106
ESV4641.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60NOR5_clade,midas_s_869
ESV4642.1458,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_1659,midas_s_3824
ESV4643.1460,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,midas_g_273,midas_s_4643
ESV4644.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,midas_s_1303
ESV4645.1441,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_31,midas_s_137
ESV4646.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,midas_g_1161,midas_s_1306
ESV4647.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_173
ESV4648.1483,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_2104,midas_g_2663,midas_s_2663
ESV4649.1477,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Labilithrix,midas_s_4649
ESV4650.1415,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,midas_f_406,midas_g_2759,midas_s_2759
ESV4651.1475,Bacteria,Planctomycetota,OM190,midas_o_3911,midas_f_3911,midas_g_4651,midas_s_4651
ESV4652.1443,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,midas_s_4652
ESV4653.1426,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,midas_g_859,midas_s_859
ESV4654.1472,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_1961
ESV4655.1445,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,midas_s_4655
ESV4656.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_38
ESV4657.1413,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,midas_f_428,midas_g_2143,midas_s_2143
ESV4658.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_2882
ESV4659.1480,Bacteria,Latescibacterota,midas_c_18,midas_o_753,midas_f_1938,midas_g_2686,midas_s_4659
ESV4660.1446,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,midas_f_1662,midas_g_4660,midas_s_4660
ESV4661.1476,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,midas_f_973,midas_g_973,midas_s_973
ESV4662.1471,Bacteria,Caldatribacteriota,JS1,midas_o_230,midas_f_230,midas_g_230,midas_s_1331
ESV4663.1454,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,midas_g_4663,midas_s_4663
ESV4664.1436,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,Methanothrix_soehngenii
ESV4665.1448,Bacteria,WS1,midas_c_796,midas_o_796,midas_f_796,midas_g_2785,midas_s_2785
ESV4666.1444,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,midas_s_3424
ESV4667.1458,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_554,midas_s_741
ESV4668.1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_385,midas_s_499
ESV4669.1413,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,midas_f_428,midas_g_2143,midas_s_2143
ESV4670.1473,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_4670,midas_s_4670
ESV4671.1455,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,midas_g_2229,midas_s_2229
ESV4672.1450,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,midas_s_2431
ESV4673.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,midas_g_59,midas_s_1157
ESV4674.1460,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_147,midas_f_2362,Ca_Ovatusbacter,midas_s_4674
ESV4675.1439,Bacteria,Patescibacteria,Microgenomatia,Ca_Roizmanbacteria,midas_f_4675,midas_g_4675,midas_s_4675
ESV4676.1446,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,Proteiniclasticum_ruminis
ESV4677.1451,Bacteria,Planctomycetota,Planctomycetes,midas_o_1071,midas_f_1071,midas_g_4677,midas_s_4677
ESV4678.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_1668,midas_s_1668
ESV4679.1426,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_1083,midas_s_1886
ESV4680.1452,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_80,midas_g_4680,midas_s_4680
ESV4681.1425,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,midas_g_4042,midas_s_4681
ESV4682.1451,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_1119
ESV4683.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_320
ESV4684.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV4685.1436,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,midas_g_3100,midas_s_4685
ESV4686.1444,Bacteria,Desulfobacterota,midas_c_41,midas_o_918,midas_f_918,midas_g_4686,midas_s_4686
ESV4687.1442,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_43,midas_s_43
ESV4688.1451,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,midas_f_591,midas_g_4688,midas_s_4688
ESV4689.1390,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_2400,midas_s_3906
ESV4690.1460,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermovirga,midas_s_4320
ESV4691.1446,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,midas_g_4691,midas_s_4691
ESV4692.1439,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,midas_g_2424,midas_s_2424
ESV4693.1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_225,midas_s_4693
ESV4694.1446,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_43,midas_s_2649
ESV4695.1456,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_6,midas_s_4695
ESV4696.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,midas_s_78
ESV4697.1465,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,midas_s_4697
ESV4698.1484,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_977,midas_s_4698
ESV4699.1444,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,midas_g_2475,midas_s_4699
ESV4700.1446,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_292
ESV4701.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,midas_s_4701
ESV4702.1445,Bacteria,Fibrobacterota,Chitinivibrionia,midas_o_1477,midas_f_1477,midas_g_1477,midas_s_4702
ESV4703.1468,Bacteria,Patescibacteria,Dojkabacteria,midas_o_546,midas_f_4703,midas_g_4703,midas_s_4703
ESV4704.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_320
ESV4705.1500,Bacteria,Patescibacteria,Microgenomatia,Ca_Roizmanbacteria,midas_f_2614,midas_g_3250,midas_s_4705
ESV4706.1414,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_2171,midas_s_2171
ESV4707.1451,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,midas_s_4707
ESV4708.1444,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_4708,midas_s_4708
ESV4709.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,midas_s_4709
ESV4710.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina
ESV4711.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_1820
ESV4712.1440,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_351,midas_s_4056
ESV4713.1477,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_1112
ESV4714.1436,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_3795
ESV4715.1454,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea_longicatena
ESV4716.1475,Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,Syntrophomonadaceae,Syntrophomonas,midas_s_4716
ESV4717.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_150
ESV4718.1438,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,midas_s_4718
ESV4719.1450,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,midas_f_683,midas_g_3926,midas_s_4719
ESV4720.1447,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,midas_s_4720
ESV4721.1442,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_31,midas_s_1281
ESV4722.1453,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter_saccharivorans
ESV4723.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,midas_s_979
ESV4724.1463,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_4472
ESV4725.1388,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter_aquaticus
ESV4726.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV4727.1446,Bacteria,Fibrobacterota,Chitinivibrionia,midas_o_1477,midas_f_1477,midas_g_1477,midas_s_4727
ESV4728.1423,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_72,midas_g_3647,midas_s_3647
ESV4729.1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_225,midas_s_2227
ESV4730.1424,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,midas_g_467,midas_s_4730
ESV4731.1446,Bacteria,Firmicutes,Thermovenabulia,Thermovenabulales,Tepidanaerobacter,midas_g_917,midas_s_4731
ESV4732.1443,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,midas_s_1473
ESV4733.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,midas_s_2889
ESV4734.1432,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,midas_s_880
ESV4735.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,Intestinibacter_bartlettii
ESV4736.1455,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,PHOS-HE36,midas_g_179,midas_s_179
ESV4737.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV4738.1450,Bacteria,Armatimonadota,midas_c_216,midas_o_216,midas_f_216,midas_g_3959,midas_s_4738
ESV4739.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium_panacis
ESV4740.1451,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,midas_f_1993,midas_g_1993,midas_s_4740
ESV4741.1447,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Cellulosilyticum,midas_s_4741
ESV4742.1468,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,midas_s_1608
ESV4743.1440,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_422,midas_s_4743
ESV4744.1406,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_119,midas_g_119,midas_s_119
ESV4745.1431,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum_hungatei
ESV4746.1413,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,midas_s_4746
ESV4747.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_ilealis
ESV4748.1456,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_664,midas_s_925
ESV4749.1458,Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,midas_f_595,midas_g_945,midas_s_4749
ESV4750.1388,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,midas_s_4750
ESV4751.1437,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,midas_g_1221,midas_s_2072
ESV4752.1445,Bacteria,Fibrobacterota,Chitinivibrionia,midas_o_1477,midas_f_1477,midas_g_1477,midas_s_1477
ESV4753.1451,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,HN-HF0106,midas_g_4753,midas_s_4753
ESV4754.1398,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,midas_g_3996,midas_s_3996
ESV4755.1447,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,midas_s_362
ESV4756.1457,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_1730
ESV4757.1409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,midas_s_967
ESV4758.1438,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter_sanguinis
ESV4759.1456,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,midas_s_2268
ESV4760.1446,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_292
ESV4761.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,Zoogloea_ramigera
ESV4762.1459,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermovirga,midas_s_4320
ESV4763.1475,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,midas_f_1096,midas_g_1096,midas_s_1096
ESV4764.1502,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,SC103,midas_s_1054
ESV4765.1458,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,Dethiobacter,midas_s_4580
ESV4766.1398,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,midas_g_3996,midas_s_3996
ESV4767.1469,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,midas_g_1166,midas_s_4102
ESV4768.1453,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,MSB-3C8,midas_g_4378,midas_s_4768
ESV4769.1417,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,midas_s_4769
ESV4770.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_1724
ESV4771.1462,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,midas_g_201,midas_s_1143
ESV4772.1442,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,midas_g_4772,midas_s_4772
